customer_id,customer_name,email,city,state
1,Customer_001,customer001@gmail.com,Mumbai,Maharashtra
2,Customer_002,customer002@gmail.com,Pune,Maharashtra
3,Customer_003,customer003@gmail.com,Chennai,Tamil Nadu
4,Customer_004,customer004@gmail.com,Hyderabad,Telangana
5,Customer_005,customer005@gmail.com,Hyderabad,Telangana
6,Customer_006,customer006@gmail.com,Bengaluru,Karnataka
7,Customer_007,customer007@gmail.com,Mumbai,Maharashtra
8,Customer_008,customer008@gmail.com,Jaipur,Rajasthan
9,Customer_009,customer009@gmail.com,Mumbai,Maharashtra
10,Customer_010,customer010@gmail.com,Lucknow,Uttar Pradesh
11,Customer_011,customer011@gmail.com,Ahmedabad,Gujarat
12,Customer_012,customer012@gmail.com,Pune,Maharashtra
13,Customer_013,customer013@gmail.com,Pune,Maharashtra
14,Customer_014,customer014@gmail.com,Mumbai,Maharashtra
15,Customer_015,customer015@gmail.com,Hyderabad,Telangana
16,Customer_016,customer016@gmail.com,Hyderabad,Telangana
17,Customer_017,customer017@gmail.com,Jaipur,Rajasthan
18,Customer_018,customer018@gmail.com,Lucknow,Uttar Pradesh
19,Customer_019,customer019@gmail.com,Pune,Maharashtra
20,Customer_020,customer020@gmail.com,Jaipur,Rajasthan
21,Customer_021,customer021@gmail.com,Hyderabad,Telangana
22,Customer_022,customer022@gmail.com,Jaipur,Rajasthan
23,Customer_023,customer023@gmail.com,Ahmedabad,Gujarat
24,Customer_024,customer024@gmail.com,Hyderabad,Telangana
25,Customer_025,customer025@gmail.com,Surat,Gujarat
26,Customer_026,customer026@gmail.com,Lucknow,Uttar Pradesh
27,Customer_027,customer027@gmail.com,Chennai,Tamil Nadu
28,Customer_028,customer028@gmail.com,Pune,Maharashtra
29,Customer_029,customer029@gmail.com,Bengaluru,Karnataka
30,Customer_030,customer030@gmail.com,Ahmedabad,Gujarat
31,Customer_031,customer031@gmail.com,Kolkata,West Bengal
32,Customer_032,customer032@gmail.com,Chennai,Tamil Nadu
33,Customer_033,customer033@gmail.com,Bengaluru,Karnataka
34,Customer_034,customer034@gmail.com,Hyderabad,Telangana
35,Customer_035,customer035@gmail.com,Kolkata,West Bengal
36,Customer_036,customer036@gmail.com,Mumbai,Maharashtra
37,Customer_037,customer037@gmail.com,Mumbai,Maharashtra
38,Customer_038,customer038@gmail.com,Ahmedabad,Gujarat
39,Customer_039,customer039@gmail.com,Mumbai,Maharashtra
40,Customer_040,customer040@gmail.com,Kolkata,West Bengal
41,Customer_041,customer041@gmail.com,Kolkata,West Bengal
42,Customer_042,customer042@gmail.com,Lucknow,Uttar Pradesh
43,Customer_043,customer043@gmail.com,Chennai,Tamil Nadu
44,Customer_044,customer044@gmail.com,Pune,Maharashtra
45,Customer_045,customer045@gmail.com,Surat,Gujarat
46,Customer_046,customer046@gmail.com,Jaipur,Rajasthan
47,Customer_047,customer047@gmail.com,Mumbai,Maharashtra
48,Customer_048,customer048@gmail.com,Ahmedabad,Gujarat
49,Customer_049,customer049@gmail.com,Mumbai,Maharashtra
50,Customer_050,customer050@gmail.com,Jaipur,Rajasthan
51,Customer_051,customer051@gmail.com,Chennai,Tamil Nadu
52,Customer_052,customer052@gmail.com,Lucknow,Uttar Pradesh
53,Customer_053,customer053@gmail.com,Kolkata,West Bengal
54,Customer_054,customer054@gmail.com,Lucknow,Uttar Pradesh
55,Customer_055,customer055@gmail.com,Hyderabad,Telangana
56,Customer_056,customer056@gmail.com,Mumbai,Maharashtra
57,Customer_057,customer057@gmail.com,Pune,Maharashtra
58,Customer_058,customer058@gmail.com,Hyderabad,Telangana
59,Customer_059,customer059@gmail.com,Chennai,Tamil Nadu
60,Customer_060,customer060@gmail.com,Mumbai,Maharashtra
61,Customer_061,customer061@gmail.com,Hyderabad,Telangana
62,Customer_062,customer062@gmail.com,Mumbai,Maharashtra
63,Customer_063,customer063@gmail.com,Ahmedabad,Gujarat
64,Customer_064,customer064@gmail.com,Chennai,Tamil Nadu
65,Customer_065,customer065@gmail.com,Surat,Gujarat
66,Customer_066,customer066@gmail.com,Kolkata,West Bengal
67,Customer_067,customer067@gmail.com,Bengaluru,Karnataka
68,Customer_068,customer068@gmail.com,Kolkata,West Bengal
69,Customer_069,customer069@gmail.com,Kolkata,West Bengal
70,Customer_070,customer070@gmail.com,Hyderabad,Telangana
71,Customer_071,customer071@gmail.com,Chennai,Tamil Nadu
72,Customer_072,customer072@gmail.com,Mumbai,Maharashtra
73,Customer_073,customer073@gmail.com,Lucknow,Uttar Pradesh
74,Customer_074,customer074@gmail.com,Bengaluru,Karnataka
75,Customer_075,customer075@gmail.com,Jaipur,Rajasthan
76,Customer_076,customer076@gmail.com,Hyderabad,Telangana
77,Customer_077,customer077@gmail.com,Bengaluru,Karnataka
78,Customer_078,customer078@gmail.com,Surat,Gujarat
79,Customer_079,customer079@gmail.com,Ahmedabad,Gujarat
80,Customer_080,customer080@gmail.com,Chennai,Tamil Nadu
81,Customer_081,customer081@gmail.com,Jaipur,Rajasthan
82,Customer_082,customer082@gmail.com,Hyderabad,Telangana
83,Customer_083,customer083@gmail.com,Kolkata,West Bengal
84,Customer_084,customer084@gmail.com,Pune,Maharashtra
85,Customer_085,customer085@gmail.com,Hyderabad,Telangana
86,Customer_086,customer086@gmail.com,Pune,Maharashtra
87,Customer_087,customer087@gmail.com,Kolkata,West Bengal
88,Customer_088,customer088@gmail.com,Ahmedabad,Gujarat
89,Customer_089,customer089@gmail.com,Chennai,Tamil Nadu
90,Customer_090,customer090@gmail.com,Mumbai,Maharashtra
91,Customer_091,customer091@gmail.com,Hyderabad,Telangana
92,Customer_092,customer092@gmail.com,Lucknow,Uttar Pradesh
93,Customer_093,customer093@gmail.com,Kolkata,West Bengal
94,Customer_094,customer094@gmail.com,Hyderabad,Telangana
95,Customer_095,customer095@gmail.com,Surat,Gujarat
96,Customer_096,customer096@gmail.com,Ahmedabad,Gujarat
97,Customer_097,customer097@gmail.com,Surat,Gujarat
98,Customer_098,customer098@gmail.com,Bengaluru,Karnataka
99,Customer_099,customer099@gmail.com,Chennai,Tamil Nadu
100,Customer_100,customer100@gmail.com,Bengaluru,Karnataka
101,Customer_101,customer101@gmail.com,Hyderabad,Telangana
102,Customer_102,customer102@gmail.com,Jaipur,Rajasthan
103,Customer_103,customer103@gmail.com,Jaipur,Rajasthan
104,Customer_104,customer104@gmail.com,Chennai,Tamil Nadu
105,Customer_105,customer105@gmail.com,Lucknow,Uttar Pradesh
106,Customer_106,customer106@gmail.com,Ahmedabad,Gujarat
107,Customer_107,customer107@gmail.com,Lucknow,Uttar Pradesh
108,Customer_108,customer108@gmail.com,Ahmedabad,Gujarat
109,Customer_109,customer109@gmail.com,Kolkata,West Bengal
110,Customer_110,customer110@gmail.com,Hyderabad,Telangana
111,Customer_111,customer111@gmail.com,Bengaluru,Karnataka
112,Customer_112,customer112@gmail.com,Jaipur,Rajasthan
113,Customer_113,customer113@gmail.com,Surat,Gujarat
114,Customer_114,customer114@gmail.com,Mumbai,Maharashtra
115,Customer_115,customer115@gmail.com,Pune,Maharashtra
116,Customer_116,customer116@gmail.com,Mumbai,Maharashtra
117,Customer_117,customer117@gmail.com,Bengaluru,Karnataka
118,Customer_118,customer118@gmail.com,Bengaluru,Karnataka
119,Customer_119,customer119@gmail.com,Ahmedabad,Gujarat
120,Customer_120,customer120@gmail.com,Lucknow,Uttar Pradesh
121,Customer_121,customer121@gmail.com,Mumbai,Maharashtra
122,Customer_122,customer122@gmail.com,Ahmedabad,Gujarat
123,Customer_123,customer123@gmail.com,Ahmedabad,Gujarat
124,Customer_124,customer124@gmail.com,Lucknow,Uttar Pradesh
125,Customer_125,customer125@gmail.com,Surat,Gujarat
126,Customer_126,customer126@gmail.com,Jaipur,Rajasthan
127,Customer_127,customer127@gmail.com,Chennai,Tamil Nadu
128,Customer_128,customer128@gmail.com,Jaipur,Rajasthan
129,Customer_129,customer129@gmail.com,Pune,Maharashtra
130,Customer_130,customer130@gmail.com,Mumbai,Maharashtra
131,Customer_131,customer131@gmail.com,Jaipur,Rajasthan
132,Customer_132,customer132@gmail.com,Chennai,Tamil Nadu
133,Customer_133,customer133@gmail.com,Kolkata,West Bengal
134,Customer_134,customer134@gmail.com,Mumbai,Maharashtra
135,Customer_135,customer135@gmail.com,Chennai,Tamil Nadu
136,Customer_136,customer136@gmail.com,Ahmedabad,Gujarat
137,Customer_137,customer137@gmail.com,Bengaluru,Karnataka
138,Customer_138,customer138@gmail.com,Surat,Gujarat
139,Customer_139,customer139@gmail.com,Pune,Maharashtra
140,Customer_140,customer140@gmail.com,Chennai,Tamil Nadu
141,Customer_141,customer141@gmail.com,Jaipur,Rajasthan
142,Customer_142,customer142@gmail.com,Bengaluru,Karnataka
143,Customer_143,customer143@gmail.com,Jaipur,Rajasthan
144,Customer_144,customer144@gmail.com,Mumbai,Maharashtra
145,Customer_145,customer145@gmail.com,Chennai,Tamil Nadu
146,Customer_146,customer146@gmail.com,Jaipur,Rajasthan
147,Customer_147,customer147@gmail.com,Lucknow,Uttar Pradesh
148,Customer_148,customer148@gmail.com,Hyderabad,Telangana
149,Customer_149,customer149@gmail.com,Bengaluru,Karnataka
150,Customer_150,customer150@gmail.com,Kolkata,West Bengal
